data.bs.nhid,train_f1,val_f1,test_f1
B1.004.32,0.8720930305411841,0.7142857096100944,0.7176141764435066
B3.064.32,0.9614243489687918,0.7109634669821427,0.6916221060111699
B0.004.16,0.8688046699362663,0.6387832818279279,0.6907020855352729
B1.004.16,0.8035714030265808,0.6940298674416107,0.6871992133599958
B4.004.16,0.8716417964345546,0.7121211959526311,0.6781940418603748
B1.016.16,0.8181817953645691,0.659090931427257,0.6738491653594992
B0.064.64,0.9384164130238374,0.6716417920771348,0.6704545540712034
B4.004.32,0.9096385765567128,0.6640926624079784,0.6673386992733292
B4.016.64,0.8969696812984372,0.6765799299898728,0.6653425756493512
